customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,customer_value,is_repeat,has_discount,age_group
1106,33,Male,T-shirt,Clothing,83.0,Massachusetts,S,Olive,Spring,3.0,No,Next Day Air,Yes,6.0,Venmo,Every 3 Months,498.0,1,1,Adult
3047,60,Female,Shoes,Footwear,49.0,Pennsylvania,M,White,Spring,3.2,No,Store Pickup,No,25.0,Cash,Every 3 Months,1225.0,1,0,Mid
1612,41,Male,Pants,Clothing,26.0,Arkansas,L,Yellow,Winter,4.5,No,Next Day Air,Yes,6.0,Debit Card,Monthly,156.0,1,1,Mid
3552,66,Female,Gloves,Accessories,31.0,Montana,L,Black,Spring,2.6,No,Store Pickup,No,20.0,Venmo,Weekly,620.0,1,0,Senior
2918,58,Female,Shirt,Clothing,45.0,Colorado,XL,White,Winter,2.9,No,Store Pickup,No,50.0,Venmo,Annually,2250.0,1,0,Mid
1192,34,Male,T-shirt,Clothing,70.0,Indiana,L,Charcoal,Winter,4.1,No,Free Shipping,Yes,50.0,Venmo,Quarterly,3500.0,1,1,Adult
1907,23,Male,Backpack,Accessories,30.0,Vermont,M,Green,Spring,4.6,No,2-Day Shipping,No,24.0,PayPal,Fortnightly,720.0,1,0,Young
1332,38,Male,Socks,Clothing,91.0,Maryland,M,Lavender,Spring,3.2,No,Standard,Yes,8.0,PayPal,Bi-Weekly,728.0,1,1,Adult
316,66,Male,Jewelry,Accessories,24.0,Wisconsin,XL,Orange,Spring,4.5,Yes,Express,Yes,24.0,Debit Card,Annually,576.0,1,1,Senior
347,49,Male,Jeans,Clothing,50.0,New Mexico,L,Violet,Spring,4.7,Yes,Next Day Air,Yes,5.0,Cash,Weekly,250.0,1,1,Mid
3115,21,Female,Handbag,Accessories,56.0,Arkansas,M,Olive,Spring,4.7,No,Store Pickup,No,45.0,Venmo,Bi-Weekly,2520.0,1,0,Young
1498,69,Male,Jacket,Outerwear,33.0,Michigan,S,Magenta,Spring,3.8,No,2-Day Shipping,Yes,16.0,Debit Card,Every 3 Months,528.0,1,1,Senior
1606,70,Male,Belt,Accessories,46.0,Connecticut,M,Lavender,Winter,3.4,No,Next Day Air,Yes,15.0,Credit Card,Bi-Weekly,690.0,1,1,Senior
2486,43,Male,Blouse,Clothing,55.0,Louisiana,M,Beige,Spring,4.6,No,2-Day Shipping,No,37.0,Bank Transfer,Annually,2035.0,1,0,Mid
187,39,Male,Backpack,Accessories,56.0,Minnesota,S,Lavender,Summer,2.9,Yes,Standard,Yes,31.0,Debit Card,Annually,1736.0,1,1,Adult
275,59,Male,Jewelry,Accessories,32.0,Maryland,M,Indigo,Spring,3.0,Yes,Express,Yes,28.0,Cash,Bi-Weekly,896.0,1,1,Mid
1402,23,Male,Sandals,Footwear,59.0,Indiana,M,Blue,Fall,3.5,No,2-Day Shipping,Yes,1.0,PayPal,Weekly,59.0,0,1,Young
1181,23,Male,Skirt,Clothing,23.0,Oregon,S,Beige,Spring,4.9,No,Standard,Yes,34.0,Cash,Monthly,782.0,1,1,Young
2130,40,Male,Skirt,Clothing,57.0,Minnesota,L,Orange,Fall,2.8,No,Store Pickup,No,12.0,PayPal,Every 3 Months,684.0,1,0,Adult
995,53,Male,Shoes,Footwear,68.0,New York,L,Violet,Fall,3.2,Yes,Express,Yes,20.0,Debit Card,Monthly,1360.0,1,1,Mid
1230,34,Male,Jewelry,Accessories,52.0,Kansas,XL,Maroon,Winter,3.6,No,Express,Yes,39.0,Bank Transfer,Annually,2028.0,1,1,Adult
1348,44,Male,Sweater,Clothing,95.0,Vermont,M,Cyan,Summer,3.9,No,2-Day Shipping,Yes,47.0,Bank Transfer,Monthly,4465.0,1,1,Mid
3116,26,Female,Scarf,Accessories,53.0,South Dakota,M,Charcoal,Fall,4.1,No,Free Shipping,No,9.0,Bank Transfer,Bi-Weekly,477.0,1,0,Adult
1168,60,Male,Socks,Clothing,83.0,New Jersey,XL,Beige,Summer,3.6,No,Free Shipping,Yes,16.0,PayPal,Quarterly,1328.0,1,1,Mid
3685,29,Female,Skirt,Clothing,86.0,Pennsylvania,L,Charcoal,Spring,4.4,No,Free Shipping,No,47.0,Credit Card,Bi-Weekly,4042.0,1,0,Adult
2850,56,Female,Coat,Outerwear,25.0,New Hampshire,M,Gold,Spring,4.1,No,Express,No,27.0,PayPal,Bi-Weekly,675.0,1,0,Mid
1636,68,Male,Sunglasses,Accessories,24.0,North Carolina,L,Violet,Summer,3.2,No,Standard,Yes,40.0,Cash,Annually,960.0,1,1,Senior
1489,23,Male,Hat,Accessories,44.0,Hawaii,L,Pink,Winter,4.0,No,Standard,Yes,37.0,Credit Card,Weekly,1628.0,1,1,Young
3827,50,Female,Jacket,Outerwear,31.0,Montana,M,Gray,Summer,4.0,No,Express,No,25.0,Bank Transfer,Annually,775.0,1,0,Mid
2417,59,Male,Sandals,Footwear,83.0,Nebraska,S,Black,Summer,4.0,No,Next Day Air,No,26.0,Credit Card,Every 3 Months,2158.0,1,0,Mid
2832,34,Female,Hoodie,Clothing,53.0,Virginia,L,Pink,Winter,5.0,No,Express,No,4.0,Credit Card,Weekly,212.0,1,0,Adult
2367,30,Male,Shoes,Footwear,66.0,New Mexico,L,Brown,Winter,3.6,No,Express,No,32.0,Credit Card,Fortnightly,2112.0,1,0,Adult
508,65,Male,Shorts,Clothing,20.0,Maine,M,Magenta,Spring,5.0,Yes,Store Pickup,Yes,33.0,Debit Card,Fortnightly,660.0,1,1,Senior
2098,33,Male,Sneakers,Footwear,43.0,Iowa,S,Cyan,Winter,3.9,No,Next Day Air,No,5.0,Credit Card,Weekly,215.0,1,0,Adult
1080,18,Male,Coat,Outerwear,33.0,Oklahoma,S,Blue,Summer,4.4,No,Free Shipping,Yes,48.0,Bank Transfer,Monthly,1584.0,1,1,Young
3036,69,Female,Handbag,Accessories,64.0,Kentucky,M,Gold,Spring,4.5,No,Free Shipping,No,18.0,Cash,Bi-Weekly,1152.0,1,0,Senior
3554,62,Female,Shoes,Footwear,99.0,Minnesota,M,Charcoal,Spring,4.9,No,Free Shipping,No,32.0,Bank Transfer,Weekly,3168.0,1,0,Senior
2077,59,Male,Gloves,Accessories,23.0,Florida,S,Indigo,Fall,4.6,No,Free Shipping,No,22.0,Debit Card,Bi-Weekly,506.0,1,0,Mid
3088,62,Female,Shirt,Clothing,84.0,North Carolina,M,Charcoal,Spring,3.1,No,Free Shipping,No,29.0,Bank Transfer,Monthly,2436.0,1,0,Senior
3739,34,Female,Shorts,Clothing,45.0,Delaware,M,Brown,Spring,2.7,No,Free Shipping,No,48.0,Cash,Fortnightly,2160.0,1,0,Adult
3309,55,Female,Jeans,Clothing,70.0,Utah,M,Pink,Fall,2.6,No,Express,No,29.0,Cash,Monthly,2030.0,1,0,Mid
2922,20,Female,Handbag,Accessories,24.0,Wisconsin,M,Cyan,Fall,4.6,No,Standard,No,11.0,Cash,Fortnightly,264.0,1,0,Young
660,62,Male,Shorts,Clothing,52.0,Virginia,S,Gold,Spring,3.6,Yes,2-Day Shipping,Yes,8.0,Cash,Weekly,416.0,1,1,Senior
3632,48,Female,Hat,Accessories,50.0,New Jersey,M,Peach,Fall,2.9,No,Store Pickup,No,26.0,Credit Card,Monthly,1300.0,1,0,Mid
3217,39,Female,Hoodie,Clothing,85.0,Illinois,S,Olive,Winter,3.4,No,Next Day Air,No,18.0,Cash,Weekly,1530.0,1,0,Adult
3696,38,Female,Skirt,Clothing,33.0,Florida,M,White,Fall,4.6,No,Standard,No,18.0,Bank Transfer,Fortnightly,594.0,1,0,Adult
146,24,Male,Jewelry,Accessories,95.0,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,44.0,Debit Card,Quarterly,4180.0,1,1,Young
693,35,Male,Sunglasses,Accessories,95.0,North Dakota,M,Cyan,Spring,4.0,Yes,2-Day Shipping,Yes,40.0,Debit Card,Every 3 Months,3800.0,1,1,Adult
1837,66,Male,Pants,Clothing,52.0,South Carolina,M,Teal,Fall,4.2,No,2-Day Shipping,No,35.0,Credit Card,Monthly,1820.0,1,0,Senior
598,70,Male,Jewelry,Accessories,69.0,Alaska,L,Gold,Summer,3.4,Yes,Standard,Yes,19.0,Bank Transfer,Fortnightly,1311.0,1,1,Senior
165,59,Male,Handbag,Accessories,65.0,Delaware,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,5.0,Credit Card,Fortnightly,325.0,1,1,Mid
1186,47,Male,Jeans,Clothing,64.0,Maine,M,Magenta,Spring,3.9,No,Standard,Yes,29.0,Credit Card,Monthly,1856.0,1,1,Mid
3328,47,Female,Shorts,Clothing,64.0,Connecticut,M,Black,Spring,4.1,No,Express,No,2.0,Debit Card,Quarterly,128.0,1,0,Mid
3889,45,Female,Sneakers,Footwear,69.0,Virginia,M,Violet,Spring,3.4,No,Standard,No,14.0,Venmo,Bi-Weekly,966.0,1,0,Mid
106,69,Male,Backpack,Accessories,96.0,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,4.0,Bank Transfer,Annually,384.0,1,1,Senior
63,30,Male,Sneakers,Footwear,21.0,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,31.0,Credit Card,Fortnightly,651.0,1,1,Adult
3455,55,Female,Handbag,Accessories,71.0,Louisiana,S,Lavender,Fall,4.6,No,Store Pickup,No,15.0,PayPal,Bi-Weekly,1065.0,1,0,Mid
2500,52,Male,Hoodie,Clothing,73.0,Louisiana,L,Pink,Summer,3.1,No,Next Day Air,No,2.0,Cash,Quarterly,146.0,1,0,Mid
2136,34,Male,Sunglasses,Accessories,94.0,California,S,Yellow,Winter,4.6,No,Next Day Air,No,1.0,Debit Card,Every 3 Months,94.0,0,0,Adult
3584,52,Female,Blouse,Clothing,77.0,Arizona,L,Brown,Summer,2.7,No,Store Pickup,No,44.0,Credit Card,Every 3 Months,3388.0,1,0,Mid
2547,63,Male,Boots,Footwear,21.0,Texas,L,Gray,Summer,3.0,No,Express,No,4.0,Credit Card,Quarterly,84.0,1,0,Senior
4972,46,Other,Bag,Accessories,34.65,New York,M,White,Autumn,4.0,No,Express,Yes,3.0,Debit Card,Monthly,103.94999999999999,1,1,Mid
3365,50,Female,Scarf,Accessories,33.0,Oregon,M,Peach,Fall,3.2,No,Standard,No,7.0,Credit Card,Monthly,231.0,1,0,Mid
1637,58,Male,Boots,Footwear,22.0,North Dakota,L,Green,Fall,4.0,No,Free Shipping,Yes,49.0,Cash,Fortnightly,1078.0,1,1,Mid
2000,39,Male,Socks,Clothing,89.0,Tennessee,L,Indigo,Winter,4.6,No,2-Day Shipping,No,26.0,Debit Card,Monthly,2314.0,1,0,Adult
2603,65,Male,Coat,Outerwear,44.0,South Carolina,M,Black,Fall,2.9,No,Free Shipping,No,1.0,Venmo,Quarterly,44.0,0,0,Senior
2700,25,Female,Boots,Footwear,96.0,Utah,M,Violet,Fall,3.6,No,2-Day Shipping,No,49.0,Debit Card,Annually,4704.0,1,0,Young
3371,30,Female,Belt,Accessories,31.0,Illinois,M,Charcoal,Summer,2.8,No,Store Pickup,No,46.0,Cash,Fortnightly,1426.0,1,0,Adult
3599,23,Female,Hoodie,Clothing,76.0,Connecticut,XL,Purple,Spring,4.6,No,Store Pickup,No,19.0,Bank Transfer,Bi-Weekly,1444.0,1,0,Young
1432,39,Male,Pants,Clothing,88.0,South Dakota,M,Cyan,Fall,2.9,No,Express,Yes,29.0,Venmo,Quarterly,2552.0,1,1,Adult
2381,41,Male,Scarf,Accessories,66.0,Pennsylvania,M,Black,Fall,2.5,No,Next Day Air,No,36.0,PayPal,Fortnightly,2376.0,1,0,Mid
2120,58,Male,Jewelry,Accessories,57.0,Nebraska,M,Indigo,Spring,3.5,No,Store Pickup,No,36.0,Venmo,Bi-Weekly,2052.0,1,0,Mid
3502,53,Female,Shoes,Footwear,87.0,Nebraska,M,Silver,Fall,4.8,No,Standard,No,43.0,Bank Transfer,Weekly,3741.0,1,0,Mid
3551,63,Female,Shoes,Footwear,74.0,West Virginia,S,Orange,Winter,4.8,No,Standard,No,32.0,Cash,Weekly,2368.0,1,0,Senior
712,64,Male,Boots,Footwear,60.0,New Hampshire,M,Maroon,Spring,3.5,Yes,2-Day Shipping,Yes,13.0,Bank Transfer,Bi-Weekly,780.0,1,1,Senior
1337,23,Male,Sneakers,Footwear,85.0,Oregon,M,Charcoal,Spring,4.8,No,Store Pickup,Yes,44.0,Debit Card,Fortnightly,3740.0,1,1,Young
1047,40,Male,Sneakers,Footwear,22.0,Illinois,M,Magenta,Winter,4.2,Yes,Standard,Yes,12.0,Venmo,Annually,264.0,1,1,Adult
2225,18,Male,Gloves,Accessories,25.0,Nebraska,L,Charcoal,Winter,4.3,No,Standard,No,38.0,Cash,Quarterly,950.0,1,0,Young
3525,69,Female,Pants,Clothing,74.0,Michigan,L,Silver,Summer,2.9,No,Free Shipping,No,30.0,Credit Card,Monthly,2220.0,1,0,Senior
3199,61,Female,Gloves,Accessories,94.0,Pennsylvania,L,Peach,Winter,2.8,No,Free Shipping,No,39.0,Debit Card,Weekly,3666.0,1,0,Senior
70,48,Male,Belt,Accessories,70.0,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,5.0,Cash,Weekly,350.0,1,1,Mid
2721,55,Female,Scarf,Accessories,52.0,Maryland,M,Peach,Spring,2.8,No,Store Pickup,No,45.0,Bank Transfer,Quarterly,2340.0,1,0,Mid
436,51,Male,Coat,Outerwear,28.0,Montana,XL,Olive,Winter,3.6,Yes,Next Day Air,Yes,42.0,Bank Transfer,Monthly,1176.0,1,1,Mid
387,64,Male,Jewelry,Accessories,39.0,Louisiana,L,Brown,Spring,3.4,Yes,Express,Yes,40.0,PayPal,Quarterly,1560.0,1,1,Senior
3867,58,Female,Hat,Accessories,32.0,Alaska,M,Beige,Winter,3.3,No,2-Day Shipping,No,33.0,Credit Card,Fortnightly,1056.0,1,0,Mid
3358,41,Female,Hoodie,Clothing,67.0,Arkansas,M,Pink,Winter,3.5,No,Free Shipping,No,37.0,Credit Card,Monthly,2479.0,1,0,Mid
608,47,Male,Hoodie,Clothing,23.0,Indiana,L,Purple,Fall,2.8,Yes,Next Day Air,Yes,44.0,Cash,Monthly,1012.0,1,1,Mid
115,70,Male,Coat,Outerwear,95.0,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,9.0,Cash,Weekly,855.0,1,1,Senior
2568,19,Male,Sunglasses,Accessories,25.0,Michigan,XL,Gold,Spring,4.3,No,Store Pickup,No,24.0,Cash,Fortnightly,600.0,1,0,Young
235,20,Male,Gloves,Accessories,39.0,South Dakota,S,Silver,Summer,3.7,Yes,Next Day Air,Yes,24.0,Credit Card,Weekly,936.0,1,1,Young
3699,25,Female,Skirt,Clothing,54.0,California,XL,Maroon,Spring,4.0,No,2-Day Shipping,No,4.0,Venmo,Annually,216.0,1,0,Young
3215,53,Female,Skirt,Clothing,78.0,Washington,M,Yellow,Spring,3.1,No,Free Shipping,No,6.0,Debit Card,Annually,468.0,1,0,Mid
1876,63,Male,Boots,Footwear,71.0,Tennessee,M,Brown,Winter,3.9,No,Next Day Air,No,6.0,Credit Card,Quarterly,426.0,1,0,Senior
1625,38,Male,Sweater,Clothing,32.0,Florida,M,White,Winter,3.6,No,Free Shipping,Yes,40.0,PayPal,Every 3 Months,1280.0,1,1,Adult
1396,47,Male,Scarf,Accessories,32.0,West Virginia,L,Turquoise,Spring,2.8,No,Next Day Air,Yes,40.0,PayPal,Bi-Weekly,1280.0,1,1,Mid
9,26,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,8.0,Venmo,Annually,776.0,1,1,Adult
2168,30,Male,Skirt,Clothing,48.0,Ohio,L,Green,Winter,4.9,No,Standard,No,33.0,Venmo,Fortnightly,1584.0,1,0,Adult
749,35,Male,Hat,Accessories,39.0,South Dakota,L,Brown,Fall,3.9,Yes,Free Shipping,Yes,8.0,Bank Transfer,Quarterly,312.0,1,1,Adult
2507,57,Male,Dress,Clothing,82.0,New York,XL,Orange,Spring,4.4,No,Free Shipping,No,19.0,Venmo,Annually,1558.0,1,0,Mid
1285,65,Male,Dress,Clothing,93.0,Arkansas,M,Black,Spring,3.9,No,Express,Yes,38.0,PayPal,Fortnightly,3534.0,1,1,Senior
1195,50,Male,Hoodie,Clothing,46.0,New York,S,Teal,Winter,3.1,No,2-Day Shipping,Yes,6.0,Credit Card,Fortnightly,276.0,1,1,Mid
2013,48,Male,Jeans,Clothing,53.0,Nevada,L,Green,Fall,3.2,No,Store Pickup,No,5.0,Cash,Fortnightly,265.0,1,0,Mid
2050,68,Male,Boots,Footwear,24.0,Rhode Island,L,Blue,Fall,2.7,No,Standard,No,15.0,Venmo,Annually,360.0,1,0,Senior
1306,31,Male,Pants,Clothing,56.0,Mississippi,XL,Peach,Spring,4.5,No,Express,Yes,2.0,PayPal,Every 3 Months,112.0,1,1,Adult
3170,35,Female,T-shirt,Clothing,59.0,Georgia,M,White,Fall,3.8,No,Free Shipping,No,3.0,Venmo,Weekly,177.0,1,0,Adult
1116,30,Male,Hat,Accessories,58.0,New York,S,Peach,Fall,4.0,No,2-Day Shipping,Yes,37.0,Cash,Weekly,2146.0,1,1,Adult
2317,28,Male,Sneakers,Footwear,39.0,Montana,L,Yellow,Winter,3.8,No,Standard,No,7.0,Debit Card,Annually,273.0,1,0,Adult
728,62,Male,Sweater,Clothing,97.0,Arkansas,S,Gray,Winter,4.8,Yes,Next Day Air,Yes,37.0,Venmo,Every 3 Months,3589.0,1,1,Senior
467,38,Male,Jeans,Clothing,24.0,Vermont,L,Turquoise,Winter,4.6,Yes,Free Shipping,Yes,25.0,PayPal,Weekly,600.0,1,1,Adult
656,20,Male,Handbag,Accessories,36.0,Mississippi,S,Purple,Fall,3.1,Yes,Free Shipping,Yes,19.0,Venmo,Monthly,684.0,1,1,Young
99,20,Male,Jeans,Clothing,67.0,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,20.0,Bank Transfer,Annually,1340.0,1,1,Young
3681,22,Female,Sunglasses,Accessories,36.0,Iowa,S,Blue,Winter,2.9,No,Standard,No,30.0,Debit Card,Quarterly,1080.0,1,0,Young
3715,18,Female,Hat,Accessories,31.0,New York,S,Peach,Winter,3.9,No,Express,No,35.0,Credit Card,Weekly,1085.0,1,0,Young
2726,64,Female,Backpack,Accessories,99.0,Mississippi,S,Violet,Summer,2.7,No,Free Shipping,No,4.0,Debit Card,Annually,396.0,1,0,Senior
2544,27,Male,Scarf,Accessories,56.0,West Virginia,L,Peach,Spring,2.7,No,Next Day Air,No,30.0,PayPal,Bi-Weekly,1680.0,1,0,Adult
2834,43,Female,Jeans,Clothing,56.0,Arkansas,M,Teal,Fall,3.3,No,Free Shipping,No,19.0,Cash,Monthly,1064.0,1,0,Mid
1084,35,Male,Backpack,Accessories,97.0,Washington,L,Teal,Summer,3.3,No,Store Pickup,Yes,43.0,Cash,Weekly,4171.0,1,1,Adult
2904,38,Female,Scarf,Accessories,39.0,Delaware,S,Teal,Spring,3.5,No,2-Day Shipping,No,24.0,Credit Card,Every 3 Months,936.0,1,0,Adult
964,21,Male,Boots,Footwear,63.0,South Carolina,L,Green,Spring,2.5,Yes,2-Day Shipping,Yes,14.0,Credit Card,Weekly,882.0,1,1,Young
299,69,Male,T-shirt,Clothing,53.0,Maryland,M,Lavender,Winter,4.0,Yes,Standard,Yes,11.0,Venmo,Every 3 Months,583.0,1,1,Senior
2789,56,Female,Boots,Footwear,92.0,Rhode Island,M,Olive,Summer,3.1,No,Free Shipping,No,2.0,Credit Card,Annually,184.0,1,0,Mid
2321,28,Male,Shoes,Footwear,55.0,New Mexico,M,Olive,Spring,3.7,No,Free Shipping,No,9.0,Debit Card,Every 3 Months,495.0,1,0,Adult
79,50,Male,Skirt,Clothing,91.0,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,50.0,Venmo,Fortnightly,4550.0,1,1,Mid
771,19,Male,Sneakers,Footwear,54.0,Vermont,M,Gray,Spring,3.3,Yes,Express,Yes,8.0,Credit Card,Annually,432.0,1,1,Young
1543,59,Male,Blouse,Clothing,44.0,Hawaii,M,Maroon,Winter,3.5,No,Next Day Air,Yes,43.0,PayPal,Weekly,1892.0,1,1,Mid
2223,32,Male,Pants,Clothing,66.0,Georgia,M,Teal,Summer,4.4,No,Store Pickup,No,30.0,Credit Card,Weekly,1980.0,1,0,Adult
3461,41,Female,Scarf,Accessories,78.0,Indiana,M,Gold,Spring,3.1,No,Express,No,5.0,Bank Transfer,Bi-Weekly,390.0,1,0,Mid
1952,33,Male,Gloves,Accessories,53.0,Connecticut,L,Gold,Summer,2.7,No,Next Day Air,No,32.0,Bank Transfer,Bi-Weekly,1696.0,1,0,Adult
1645,68,Male,Coat,Outerwear,90.0,North Carolina,S,Beige,Summer,3.9,No,Next Day Air,Yes,21.0,Debit Card,Monthly,1890.0,1,1,Senior
510,41,Male,T-shirt,Clothing,80.0,Delaware,L,Cyan,Summer,3.9,Yes,Free Shipping,Yes,17.0,Debit Card,Weekly,1360.0,1,1,Mid
2854,37,Female,Hat,Accessories,48.0,Pennsylvania,M,Magenta,Winter,3.2,No,Next Day Air,No,9.0,PayPal,Weekly,432.0,1,0,Adult
378,63,Male,Scarf,Accessories,32.0,Maine,M,Silver,Spring,4.1,Yes,Standard,Yes,39.0,Credit Card,Every 3 Months,1248.0,1,1,Senior
827,54,Male,Dress,Clothing,94.0,Massachusetts,M,Purple,Winter,3.6,Yes,Standard,Yes,36.0,PayPal,Weekly,3384.0,1,1,Mid
546,33,Male,Coat,Outerwear,32.0,Alabama,L,Magenta,Summer,3.5,Yes,2-Day Shipping,Yes,48.0,Debit Card,Annually,1536.0,1,1,Adult
2085,32,Male,Blouse,Clothing,94.0,Vermont,S,Brown,Summer,4.0,No,Standard,No,43.0,Bank Transfer,Quarterly,4042.0,1,0,Adult
641,53,Male,Skirt,Clothing,88.0,Minnesota,M,Gray,Summer,4.4,Yes,Store Pickup,Yes,28.0,Debit Card,Fortnightly,2464.0,1,1,Mid
1771,53,Male,Backpack,Accessories,22.0,Michigan,M,Pink,Fall,4.3,No,Express,No,34.0,Bank Transfer,Weekly,748.0,1,0,Mid
1861,18,Male,T-shirt,Clothing,64.0,Kansas,M,Silver,Summer,4.8,No,Next Day Air,No,4.0,Credit Card,Monthly,256.0,1,0,Young
2915,45,Female,Sweater,Clothing,72.0,Pennsylvania,M,Yellow,Fall,3.8,No,Express,No,1.0,Debit Card,Bi-Weekly,72.0,0,0,Mid
5009,35,Male,Watch,Clothing,585.1,New York,M,Green,Autumn,4.0,Yes,Express,Yes,41.0,Credit Card,Quarterly,23989.100000000002,1,1,Adult
2990,46,Female,Belt,Accessories,20.0,Rhode Island,XL,Teal,Summer,4.3,No,2-Day Shipping,No,6.0,Credit Card,Weekly,120.0,1,0,Mid
2056,28,Male,Handbag,Accessories,33.0,Texas,M,Silver,Fall,3.4,No,2-Day Shipping,No,28.0,Bank Transfer,Weekly,924.0,1,0,Adult
1994,32,Male,Blouse,Clothing,96.0,Arkansas,S,Purple,Spring,5.0,No,Express,No,17.0,Cash,Weekly,1632.0,1,0,Adult
2347,22,Male,Jacket,Outerwear,67.0,New Mexico,L,Brown,Winter,3.1,No,Standard,No,46.0,Debit Card,Fortnightly,3082.0,1,0,Young
3063,51,Female,Backpack,Accessories,96.0,California,L,Green,Fall,3.3,No,Standard,No,39.0,PayPal,Monthly,3744.0,1,0,Mid
1967,67,Male,Jacket,Outerwear,95.0,Indiana,XL,Purple,Winter,3.7,No,Express,No,5.0,Credit Card,Fortnightly,475.0,1,0,Senior
2131,25,Male,Backpack,Accessories,68.0,Arizona,L,Violet,Summer,3.7,No,Free Shipping,No,33.0,Credit Card,Annually,2244.0,1,0,Young
818,25,Male,Handbag,Accessories,21.0,Nevada,S,Gray,Spring,4.7,Yes,Store Pickup,Yes,30.0,PayPal,Fortnightly,630.0,1,1,Young
3336,44,Female,Hat,Accessories,94.0,Texas,XL,Cyan,Winter,3.5,No,Express,No,48.0,Bank Transfer,Quarterly,4512.0,1,0,Mid
2100,31,Male,T-shirt,Clothing,78.0,Oklahoma,L,Green,Summer,2.9,No,Express,No,50.0,PayPal,Annually,3900.0,1,0,Adult
383,28,Male,Jeans,Clothing,76.0,California,M,Peach,Winter,3.2,Yes,Store Pickup,Yes,47.0,PayPal,Quarterly,3572.0,1,1,Adult
1592,18,Male,Skirt,Clothing,100.0,South Dakota,L,Gold,Winter,2.9,No,Next Day Air,Yes,24.0,PayPal,Annually,2400.0,1,1,Young
